feature,ensemble_score,anova,mutual_info,random_forest,extra_trees,variance,cluster_separation
energy_ratio_high,0.29204250154660766,0.3805546898973217,0.16032281258234657,0.24652296089842562,0.3041889229020145,0.3333333333333333,0.3657300260748727
fourier_peak5_std,0.2896087905996365,0.3376584144155108,0.1050487074837817,0.07918852262066321,0.11828124646758004,1.0,0.506045540047328
spectral_contrast_band7_std,0.2852219185643121,0.2798710697753569,0.11374542827570461,0.12787591575348506,0.1486901554726766,1.0,0.44626358993733434
9-MFCCs1m,0.2831342443576663,0.411011253658564,0.15030072155375607,0.1603110506685074,0.18284938438015233,0.3333333333333333,0.5749833550821647
4-SpectralCentroidm,0.282138668307538,0.3721265158997534,0.149559937039732,0.19107195545593553,0.2568274814654874,0.3333333333333333,0.4912320528030966
spectral_contrast_band5_mean,0.2812061489802938,0.312231710208,0.13702662365965745,0.11274345045722284,0.16431091862295039,1.0,0.28547568811475177
fourier_peak5_bpm,0.28059806984130975,0.11473489557920938,0.7440943185110278,0.09697915618196683,0.07783336083256731,0.6666666666666666,0.053579802163567496
34-ChromaDeviationm,0.27898694024262116,0.3240649121419072,0.116201938041932,0.0765689312744763,0.21941259391107393,0.3333333333333333,0.9317131592386826
auto_peak3_mean,0.27629782731613217,0.3643334960343208,0.16812356577895457,0.16995103447491564,0.21798968784634934,0.3333333333333333,0.5156774674649218
41-SpectralFluxstd,0.2757856696411067,0.44242698093494603,0.1580411331851044,0.172484084895601,0.30012376796622425,0.0,0.5405531559629544
1-ZCRm,0.2752272221591604,0.39070721866821534,0.16331725447493284,0.14710778757102475,0.2017767729553327,0.3333333333333333,0.5186555980628181
rms_std,0.27467921222724995,0.4842503942979422,0.19519336908889054,0.06346388471947532,0.20912449543472386,0.3333333333333333,0.3718315524254932
cyclic_auto_peak1_mean,0.2731481434908571,0.2556622502302846,0.22717380410850838,0.35099864710394335,0.34677942993810384,0.3333333333333333,0.08247842866746669
fourier_peak1_std,0.27289604092890096,0.2687787478682695,0.12268970352976738,0.10376934074592496,0.07477586897529426,1.0,0.49193164760401004
75-bpm_histogram_second_peak_spread,0.27001182093801834,0.31754958133902134,0.4922947754621491,0.06766012632262806,0.29673210363829683,0.0,0.3412362970056304
81-beats_loudness_band_ratio.mean1,0.26919476306199663,0.2471351887071774,0.0950568062572193,0.15557933565956272,0.2645699467858208,1.0,0.17598245483972755
85-beats_loudness_band_ratio.mean5,0.26744814530860894,0.2716340033491352,0.11642520200440701,0.13625675191505254,0.20448368956581847,1.0,0.1833070025256045
79-beats_loudness.stdev,0.2642814160443208,0.334104297555816,0.11759514928794294,0.07528262113093911,0.13661770401120066,1.0,0.2168713196991031
cyclic_fourier_peak5_std,0.2636666601009121,0.2658104898489123,0.0838857949503439,0.08083353879626555,0.13177790221798583,1.0,0.445034855566643
dynamic_range_db,0.26178498883827905,0.42003453324013135,0.15009854736424932,0.21346546991537171,0.15096611479047226,0.3333333333333333,0.2808530152041788
70-BPMconf,0.26149117647074666,0.3995134265763055,0.16039530591419218,0.10258889081246564,0.259149746824894,0.3333333333333333,0.3681018512427126
auto_peak2_bpm,0.26118807985817744,0.12135865426730037,0.7274191751151821,0.09633968758444095,0.1674224659300199,0.3333333333333333,0.07649940528591394
auto_peak2_mean,0.26117973273160894,0.36221729066688324,0.13946089609528683,0.1549284131065854,0.1916539336533868,0.3333333333333333,0.4966612484317233
cyclic_auto_peak5_mean,0.25782135449918575,0.21867803985768453,0.1593543487658898,0.14797047814067452,0.20754589791021189,1.0,0.10554994466919945
rms_skew,0.2565912553311724,0.4239854398819844,0.14717696092233307,0.15839553671127468,0.2432968712925982,0.3333333333333333,0.1965253180673169
fourier_peak4_bpm,0.255805123046882,0.11429869917318733,0.7742247147316341,0.06244119835953189,0.15082870761098896,0.3333333333333333,0.039396261603702784
auto_peak1_mean,0.24888737247673376,0.28210215184931187,0.1035752099428777,0.09599752916299213,0.19638270098575636,0.6666666666666666,0.4232321487870172
35-ZCRstd,0.23795181479722863,0.34721386353308065,0.1291893690607419,0.11521964276985525,0.1970779224596904,0.3333333333333333,0.3937152484555214
fourier_peak3_std,0.23726568133138243,0.3438732339201837,0.11536074858278272,0.13576537381357728,0.13627006463402688,0.3333333333333333,0.47298305343627134
cyclic_auto_peak2_mean,0.23725072138742426,0.29447412388042316,0.1936551141664178,0.13610825096820706,0.2783073118316218,0.3333333333333333,0.2260008728231687
cyclic_auto_entropy,0.2349552645802125,0.3432949990378402,0.12613670895297532,0.10959324131885997,0.17772930360825898,0.0,0.7532612922514651
cyclic_auto_peak1_s,0.23139117895749012,0.2765264144788202,0.11072045655647964,0.06786545877917315,0.31088767721962146,0.6666666666666666,0.13242574021044626
fourier_peak4_std,0.23041822702705975,0.3430977429525124,0.1095509856716107,0.0938942051551607,0.13798657220856664,0.3333333333333333,0.4992343395895903
auto_peak3_bpm,0.22940269878428834,0.04905814970423526,0.6736194563562576,0.015061416068198491,0.05494511278240296,0.6666666666666666,0.044935532893111925
11-MFCCs3m,0.22037156955955234,0.30141023196272937,0.12643035960350651,0.08902813358677815,0.08243014133626574,0.6666666666666666,0.2289612506370652
fourier_peak1_bpm,0.216349978779405,0.22172431078949917,0.14398562899647943,0.11998051444339622,0.3283331631554186,0.0,0.5887569792074229
