,140 - Deep Dubstep - Grime,Afro House,Amapiano,Ambient - Experimental,Bass - Club,Bass House,Breaks - Breakbeat - UK Bass,DJ Tools,Dance - Pop,Deep House,Downtempo,Drum & Bass,Dubstep,Electro (Classic - Detroit - Modern),Electronica,Funky House,Hard Dance - Hardcore - Neo Rave,Hard Techno,House,Indie Dance,Jackin House,Mainstage,Melodic House & Techno,Minimal - Deep Tech,Nu Disco - Disco,Organic House,Progressive House,Psy-Trance,Tech House,Techno (Peak Time - Driving),Techno (Raw - Deep - Hypnotic),Trance (Main Floor),Trance (Raw - Deep - Hypnotic),Trap - Future Bass,UK Garage - Bassline
Organic House,0.0,0.5764090102223662,0.04923224881875781,0.0,0.0578488294268141,0.0,0.0,0.0,0.0,0.5127416308327938,0.4240462400444252,0.0,0.0,0.32726758023642005,0.10525516331147629,0.04160737583472053,0.0,0.0,0.3266065929189238,0.6697553151161417,0.22555773854877603,0.0,0.24848460299440006,0.3437584235070754,0.3043124743517109,0.2852151527499269,0.8590759870390641,0.25676687553038624,0.3523498868920478,0.10073320927592377,0.4090574559938213,0.0,0.5885521352601661,0.0,0.0
Progressive House,0.0,0.6962586746080186,0.0,0.0,0.0,0.0,0.0,0.0,0.22953086948549264,0.18159675673346487,0.19584329755337979,0.0,0.0,0.126378655865543,0.23012777787443045,0.03697221282040933,0.0,0.0,0.15815174649194907,0.430272779812675,0.0,0.053831427693612814,0.5224383854861879,0.0,0.21130387039177018,0.8590759870390641,0.3495468194908351,0.4095105569259171,0.028896665717945844,0.3511101864912924,0.3895563243465756,0.3759574978582947,0.7461206799402544,0.0,0.0
Psy-Trance,0.0,0.32006627050996717,0.0,0.07242581107815305,0.0,0.0,0.0,0.0,0.09967816857333553,0.0,0.0,0.0,0.0,0.013717071994713627,0.2505225860522647,0.0,0.3438291030758285,0.36692702163800095,0.0,0.021818874448070437,0.0,0.4455915717358053,0.4443662188333434,0.0,0.0,0.25676687553038624,0.4095105569259171,0.2904652754852749,0.0,0.7506715721684561,0.5618352952547165,0.48387841845801843,0.7569038168529896,0.0,0.0
Tech House,0.0,0.0,0.0,0.0,0.6204455132019947,0.7698117312159544,0.39358882038169263,0.0,0.0,0.7788305257442728,0.0,0.0,0.0,0.6719555860739816,0.0,0.4647286347508853,0.0,0.0,0.7136658625965204,0.7178989068233884,0.7269876350621002,0.0,0.0,0.8983719250411188,0.17378204774344058,0.3523498868920478,0.028896665717945844,0.0,0.2125766295235696,0.0,0.34279929695299416,0.0,0.0,0.0,0.5463191122288544
Techno (Peak Time - Driving),0.0,0.28767980420605566,0.0,0.0925446442848271,0.0,0.0,0.0,0.0,0.4895949148088911,0.0,0.0,0.0,0.0,0.0,0.15662805361680165,0.0,0.4392293703727357,0.5194568542756515,0.0,0.0,0.0,0.7701063604146406,0.532569133647433,0.0,0.0,0.10073320927592377,0.3511101864912924,0.7506715721684561,0.0,0.2934635287691528,0.3912227377947135,0.705285707523698,0.5809665764593599,0.0,0.0
Techno (Raw - Deep - Hypnotic),0.0,0.062287010398233936,0.0,0.0,0.4516705969837924,0.07918105343241874,0.11284249733168274,0.0,0.0,0.2591247378778718,0.0,0.0,0.0,0.5611084380011009,0.0,0.0,0.0,0.0,0.011852629006972988,0.3811876489283552,0.0,0.0,0.0,0.3616087775962201,0.0,0.4090574559938213,0.3895563243465756,0.5618352952547165,0.34279929695299416,0.3912227377947135,0.35821210103105317,0.0,0.5844659705813282,0.0,0.03610627095444712
Trance (Main Floor),0.0,0.3418643170884007,0.0,0.35638150135682545,0.0,0.0,0.0,0.0,0.6054371897065396,0.0,0.0,0.0,0.08532329328561225,0.0,0.2740153272630112,0.0,0.49447474361256205,0.6595831368343088,0.0,0.0,0.0,0.8348466529693146,0.6593278066668296,0.0,0.0,0.0,0.3759574978582947,0.48387841845801843,0.0,0.705285707523698,0.0,0.423412829543944,0.543797353944968,0.0,0.0
Trance (Raw - Deep - Hypnotic),0.0,0.5165774508762746,0.0,0.027037442588055613,0.0,0.0,0.0,0.0,0.2912027284337294,0.0,0.027898101572298162,0.0,0.0,0.04645383510609335,0.3112754220432205,0.0,0.09052183452141338,0.26190213703177345,0.0,0.17446755012767323,0.0,0.3177979338219434,0.4262269825648082,0.0,0.0,0.5885521352601661,0.7461206799402544,0.7569038168529896,0.0,0.5809665764593599,0.5844659705813282,0.543797353944968,0.1929625400402537,0.0,0.0
Trap - Future Bass,0.8761742242226399,0.0,0.1437355437482476,0.031031103427031123,0.20827082365153357,0.27053614037431245,0.4293091891211389,0.31926390051587195,0.0,0.0,0.0,0.5225958356239081,0.8114235898539199,0.0,0.0,0.0,0.2374348695274765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26082150347688204,0.3895583751880205
UK Garage - Bassline,0.47983579124462916,0.0,0.0,0.0,0.5749177766777438,0.6639491243948465,0.42003078379538206,0.07874182252260249,0.0,0.4895976323756046,0.0,0.0,0.0,0.3729080170298241,0.0,0.2851970682789202,0.0,0.0,0.43100241610805773,0.09562476419869265,0.5527718650967989,0.0,0.0,0.6588528721923401,0.12411686836230473,0.0,0.0,0.0,0.5463191122288544,0.0,0.03610627095444712,0.0,0.0,0.3895583751880205,0.19763487949427228
