genre1,genre2,co_clustering,centroid_distance,min_distance,overlap_ratio,n_tracks_g1,n_tracks_g2
Breaks - Breakbeat - UK Bass,Trance (Main Floor),0.0,8.555980127296182,4.509861232253424,1.3101921286105473,95,98
Breaks - Breakbeat - UK Bass,Trance (Raw - Deep - Hypnotic),0.0,16.989132927077115,4.701274435148006,1.5456888875813393,95,96
Breaks - Breakbeat - UK Bass,Trap - Future Bass,0.4936290996842538,12.890226699583518,4.905779609652229,1.4275362998212715,95,93
Breaks - Breakbeat - UK Bass,UK Garage - Bassline,0.419616456295121,8.622630000458765,3.8838268637363456,1.2157866604296017,95,96
DJ Tools,Dance - Pop,0.0,22.050263550548436,10.24047852875786,2.1664054870420757,87,96
DJ Tools,Deep House,0.0,23.560478296406718,6.1825039285166,2.1232983705250237,87,96
DJ Tools,Downtempo,0.1040353332976096,23.40999970323607,9.353452730680576,2.0710458666934763,87,90
DJ Tools,Drum & Bass,0.1100312215118443,22.436139981766615,11.45216396157466,2.227075721050043,87,93
DJ Tools,Dubstep,0.3213256433464727,16.197249235538735,8.424529266963296,2.001158346604274,87,96
DJ Tools,Electro (Classic - Detroit - Modern),0.0,34.56977352844059,7.402193520542593,2.034962464146475,87,96
DJ Tools,Electronica,0.0813749326036652,20.32084794774697,7.450010460591687,2.0217097738478884,87,95
DJ Tools,Funky House,0.0,24.711964982133395,9.341062942768298,2.1921102112677526,87,98
DJ Tools,Hard Dance - Hardcore - Neo Rave,0.0,23.268360040408357,11.223242734508858,2.236358197080832,87,98
DJ Tools,Hard Techno,0.0,25.609997962401728,12.493059790166518,2.378922284251677,87,96
DJ Tools,House,0.0,21.39040726861875,9.585887179190356,2.162289463397944,87,96
DJ Tools,Indie Dance,0.0,27.5712486452068,7.261959587258584,2.058129207614926,87,96
DJ Tools,Jackin House,0.0,21.969638276445846,10.197871862166139,2.2094101021314794,87,97
DJ Tools,Mainstage,0.0,22.798283449516568,10.523747644923658,2.1926836000349774,87,95
DJ Tools,Melodic House & Techno,0.0,22.633297847581826,8.37391983891652,2.1672413930970897,87,94
DJ Tools,Minimal - Deep Tech,0.0,30.663551708573657,6.385549844013499,2.1063806514386636,87,98
DJ Tools,Nu Disco - Disco,0.1713291745125431,19.04109308502391,8.220911435788308,1.9909058992799413,87,96
DJ Tools,Organic House,0.0,31.783023267660518,10.498981532777078,2.2878096158521823,87,95
DJ Tools,Progressive House,0.0,27.1485482530168,8.006400137700867,2.347561187953677,87,92
DJ Tools,Psy-Trance,0.0,25.51955875936,11.305868758603811,2.3210290474287074,87,97
DJ Tools,Tech House,0.0,27.82831391621336,9.987461372873447,2.2452565446590627,87,98
DJ Tools,Techno (Peak Time - Driving),0.0,25.092938023782924,11.387734896002257,2.3614929247880303,87,95
DJ Tools,Techno (Raw - Deep - Hypnotic),0.0,39.39236429611193,6.535924795160962,2.9427814245277797,87,98
DJ Tools,Trance (Main Floor),0.0,24.641622123610457,10.795510218403162,2.2623171030836673,87,98
DJ Tools,Trance (Raw - Deep - Hypnotic),0.0,28.229969873683935,19.066742477330912,3.0113235778931333,87,96
DJ Tools,Trap - Future Bass,0.3002990368189675,17.18983713444768,7.894317758232698,2.092995095346538,87,93
DJ Tools,UK Garage - Bassline,0.0991648265187296,22.89838141406897,10.337881448314278,2.158950956097035,87,96
Dance - Pop,Deep House,0.0,15.452034027269272,4.5823520800766095,1.1237118630354406,96,96
Dance - Pop,Downtempo,0.0,17.612895965335092,5.374840254789835,1.4438728024564171,96,90
Dance - Pop,Drum & Bass,0.0,7.818425506332708,6.110092678529837,1.87407311026732,96,93
Dance - Pop,Dubstep,0.0280697134651385,16.267212997221716,6.661849152158232,2.835921819038653,96,96
Dance - Pop,Electro (Classic - Detroit - Modern),0.0,34.493499090854215,5.4801625549682,1.2865820964605459,96,96
Dance - Pop,Electronica,0.145287521105631,6.665330721973244,1.63056360356109,1.0957364600590427,96,95
Dance - Pop,Funky House,0.3295124419068589,6.18682993726631,4.644013666349986,1.1587711833161953,96,98
Dance - Pop,Hard Dance - Hardcore - Neo Rave,0.2512699391519661,6.94009919315971,4.952605802471359,1.3607982184078524,96,98
Dance - Pop,Hard Techno,0.4138081124426542,8.624216202948517,6.901232403986092,1.5896788604863736,96,96
Dance - Pop,House,0.0144138607609403,10.344744447663867,4.273882170451966,1.069270144372234,96,96
Dance - Pop,Indie Dance,0.0,23.143026001202177,3.407913152732079,1.1379520200553115,96,96
Dance - Pop,Jackin House,0.0,6.873277161698746,4.822477808573228,1.135566689164573,96,97
Dance - Pop,Mainstage,0.6890067720996756,2.934221850212562,4.45100782553218,1.0494613553526442,96,95
Dance - Pop,Melodic House & Techno,0.4067063638613455,5.758946991389072,0.5398724139977702,1.0528892650413684,96,94
Dance - Pop,Minimal - Deep Tech,0.0,28.963846547906176,4.633694823515756,1.2498910597261272,96,98
Dance - Pop,Nu Disco - Disco,0.1923851594220693,5.263945594535541,4.486072221234208,1.0987949232877579,96,96
Dance - Pop,Organic House,0.0043822849018083,29.03928043877636,4.695586037682768,1.2406508023140999,96,95
Dance - Pop,Progressive House,0.2615278658756488,20.340557682199435,3.386408689849719,1.277222893292757,96,92
Dance - Pop,Psy-Trance,0.0914577198986946,14.6125478619506,5.568242258052597,1.3053043819856018,96,97
Dance - Pop,Tech House,0.0,23.371152844511197,3.5020153340221793,1.0897980648625651,96,98
Dance - Pop,Techno (Peak Time - Driving),0.4881363651737085,4.905753055700435,3.440304909273365,1.1185386632049301,96,95
Dance - Pop,Techno (Raw - Deep - Hypnotic),0.0,39.002383070403404,5.6271848126114365,1.7215627711876376,96,98
Dance - Pop,Trance (Main Floor),0.610574840681652,6.202057639349674,3.5681665852953817,1.1587588483023155,96,98
Dance - Pop,Trance (Raw - Deep - Hypnotic),0.3149425140600278,22.146772300630193,3.634316495259162,1.636012222250544,96,96
Dance - Pop,Trap - Future Bass,0.0,10.013303579750179,5.635321092022412,1.4742945474910873,96,93
Dance - Pop,UK Garage - Bassline,0.0,6.092707421651649,4.81292136633153,1.116148158016248,96,96
Deep House,Downtempo,0.2521212228687886,6.755956197941742,5.283234468601375,1.3240208690783386,96,90
Deep House,Drum & Bass,0.0,18.54471139844155,8.691134138515192,4.265754134760933,96,93
Deep House,Dubstep,0.0,25.205445812054656,5.989646092220063,5.101630290380461,96,96
Deep House,Electro (Classic - Detroit - Modern),0.519057125910185,19.828141329934788,5.464402800913372,1.251579257907573,96,96
Deep House,Electronica,0.0,10.589333649519128,4.520111601565965,1.376484873801558,96,95
Deep House,Funky House,0.5123796909940126,15.629508001980975,4.077434390897101,1.381944898310689,96,98
Deep House,Hard Dance - Hardcore - Neo Rave,0.0,17.941096349246,6.144468902519866,1.7940035784392494,96,98
Deep House,Hard Techno,0.0,19.389866811835642,8.381009302752904,2.200256517846135,96,96
Deep House,House,0.8474603469392854,5.697554485400523,3.671863534970682,1.2100763115964377,96,96
Deep House,Indie Dance,0.7531818621781841,8.54893680434707,4.327806501063715,1.0641333997553566,96,96
Deep House,Jackin House,0.8800968039334287,10.829806711506794,4.196721067381418,1.2336886880040618,96,97
Deep House,Mainstage,0.0,15.33737081695584,4.6730950554134045,1.4163180160420685,96,95
Deep House,Melodic House & Techno,0.0,11.96943736329424,4.546287284986854,1.340092599714836,96,94
Deep House,Minimal - Deep Tech,0.8706109982860807,13.929536685080784,4.035061492028679,1.0397086803378002,96,98
Deep House,Nu Disco - Disco,0.5940167585186865,12.263224494922886,4.430089087245372,1.0784005881840009,96,96
Deep House,Organic House,0.5211037886028327,14.613771461733537,3.6127948927391498,1.2262325915623733,96,95
Deep House,Progressive House,0.1878683912987198,7.53439088362705,3.950440007029442,1.294151716433035,96,92
Deep House,Psy-Trance,0.0,7.193639638999095,6.075538327402135,1.493261424526781,96,97
Deep House,Tech House,0.7805950455694188,8.852639600997367,3.402034620493923,1.26862648688051,96,98
Deep House,Techno (Peak Time - Driving),0.0,14.517481847309151,4.7774745401234915,1.4788443420881292,96,95
Deep House,Techno (Raw - Deep - Hypnotic),0.2423305003416723,24.613912422220974,5.6166894233423985,1.43159733932992,96,98
Deep House,Trance (Main Floor),0.0,15.970876998391832,5.196087725877453,1.4128011081339191,96,98
Deep House,Trance (Raw - Deep - Hypnotic),0.0,9.18622185392917,4.357907148799992,1.6329146427457053,96,96
Deep House,Trap - Future Bass,0.0,20.01830814934554,6.720235739318926,1.8317350969453452,96,93
Deep House,UK Garage - Bassline,0.4816092543534281,17.01496586520925,5.207451815688992,1.412619639559775,96,96
Downtempo,Drum & Bass,0.0,19.851547618467407,7.542236520120922,3.6364474183903868,90,93
Downtempo,Dubstep,0.0,26.239963975205942,8.751951740820088,4.378053825712927,90,96
Downtempo,Electro (Classic - Detroit - Modern),0.0350190160204245,19.668309167979906,6.717576101809341,1.3340571183274488,90,96
Downtempo,Electronica,0.4726918698883652,11.834763884860221,5.265418119012951,1.3274316561137314,90,95
Downtempo,Funky House,0.0,18.891728453603566,5.976399115038716,1.6385510275739057,90,98
Downtempo,Hard Dance - Hardcore - Neo Rave,0.0,20.08966472017749,9.09849155778007,1.8322031986232745,90,98
Downtempo,Hard Techno,0.0,21.40759728541204,9.508980078132838,2.076893846029308,90,96
Downtempo,House,0.0,9.315718101478227,6.401061651407883,1.4409099510417551,90,96
Downtempo,Indie Dance,0.346226394039241,9.079084020252258,5.654030205220468,1.208543887317223,90,96
Downtempo,Jackin House,0.0014694247238828,14.174740753403169,5.666151846513002,1.4734804337854934,90,97
Downtempo,Mainstage,0.0,17.42707434441218,6.144034240711732,1.532620230235982,90,95
Downtempo,Melodic House & Techno,0.2120112226186207,13.338691329196655,5.843950548410384,1.3898452403488066,90,94
Downtempo,Minimal - Deep Tech,0.1601317546501562,14.420337611401186,6.095518457851847,1.3184909820138169,90,98
